SKU,Title/Product Name,Variation,Supplier's Cost Price,Supplier's Shipping Fee,Quantity,Tags
-,Parfums de Marly Castley Eau de Parfum Spray,75ml,210.0,10.5,15,escentual
-,Parfums de Marly Castley Eau de Parfum Spray,125ml,255.0,10.5,20,escentual
-,Bleu De CHANEL Eau De Parfum Spray,50ml,89.0,10.5,10,johnlewis
-,Bleu De CHANEL Eau De Parfum Spray,100ml,124.0,10.5,10,johnlewis
-,Bleu De CHANEL Eau De Parfum Spray,150ml,152.0,10.5,10,johnlewis
-,Grand Soir Eau de Parfum,200ml,365.0,10.5,10,johnlewis
-,Grand Soir Eau de Parfum,70ml,185.0,10.5,10,johnlewis
-,Grand Soir Eau de Parfum,35ml,115.0,10.5,1,johnlewis
-,Strawberry Icon Tumbler,-,8.5,3.95,10,johnlewis
