SKU,Title/Product Name,Variation,Supplier's Cost Price,Supplier's Shipping Fee,Quantity,Tags
-,Parfums de Marly Castley Eau de Parfum Spray,75ml,210.0,10.5,15,escentual
-,Parfums de Marly Castley Eau de Parfum Spray,125ml,255.0,10.5,20,escentual
